Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3132       0          2169       1.69
structure_refs      729        255        0          33         0.35
biomes              729        216        0          154        0.30
terrain             729        1412       0          73         1.94
surface             729        513        0          37         0.70
air_carvers         729        4414       3          96         6.05
fluid_carvers       729        11         0          0          0.02
decoration          625        3361       0          95         5.38
mob_spawns          529        77         0          19         0.15
structure_searches  0          0          0          0          0.00
Sum                                                             16.57
