Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1719       3289       0          2320       1.91
structure_refs      333        109        0          9          0.33
biomes              355        703        0          222        1.98
terrain             355        788        0          42         2.22
surface             355        427        0          45         1.20
air_carvers         355        2938       2          141        8.28
fluid_carvers       355        12         0          0          0.03
decoration          201        1991       1          193        9.91
mob_spawns          78         14         0          8          0.18
structure_searches  5          418        28         154        83.60
Sum                                                             109.64
