Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2073       4112       0          2502       1.98
structure_refs      175        75         0          7          0.43
biomes              175        487        0          209        2.78
terrain             175        472        0          37         2.70
surface             175        182        0          9          1.04
air_carvers         175        1293       2          146        7.39
fluid_carvers       175        7          0          0          0.04
decoration          74         724        2          73         9.78
mob_spawns          0          0          0          0          0.00
structure_searches  10         784        27         207        78.40
Sum                                                             104.54
