Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    23786      19107      0          2281       0.80
structure_refs      863        250        0          14         0.29
biomes              1240       19345      0          654        15.60
terrain             1160       1694       0          105        1.46
surface             1160       1229       0          180        1.06
air_carvers         754        4513       3          63         5.99
fluid_carvers       754        9          0          0          0.01
decoration          634        2349       1          114        3.71
mob_spawns          530        91         0          23         0.17
structure_searches  3          120        29         50         40.00
Sum                                                             69.09
