Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    15155      11802      0          2264       0.78
structure_refs      5906       1257       0          5          0.21
biomes              11561      3179       0          242        0.27
terrain             6004       8233       0          37         1.37
surface             6004       3802       0          32         0.63
air_carvers         251        1714       2          72         6.83
fluid_carvers       251        6          0          0          0.02
decoration          113        1082       2          71         9.58
mob_spawns          0          0          0          0          0.00
structure_searches  7          704        0          332        100.57
Sum                                                             120.27
