Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2150       3992       0          2514       1.86
structure_refs      216        71         0          2          0.33
biomes              216        114        0          100        0.53
terrain             216        478        0          32         2.21
surface             216        279        0          29         1.29
air_carvers         216        1577       2          127        7.30
fluid_carvers       216        6          0          0          0.03
decoration          94         778        2          71         8.28
mob_spawns          0          0          0          0          0.00
structure_searches  75         2968       13         235        39.57
Sum                                                             61.40
