Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    14266      9565       0          2438       0.67
structure_refs      848        228        0          2          0.27
biomes              884        35343      0          3588       39.98
terrain             858        1356       0          31         1.58
surface             858        649        0          24         0.76
air_carvers         789        4627       3          72         5.86
fluid_carvers       789        22         0          8          0.03
decoration          649        2603       1          84         4.01
mob_spawns          533        92         0          24         0.17
structure_searches  1          186        186        186        186.00
Sum                                                             239.33
