Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    2074       4222       0          2550       2.04
structure_refs      177        62         0          3          0.35
biomes              177        384        0          156        2.17
terrain             177        509        0          47         2.88
surface             177        291        0          36         1.64
air_carvers         177        1489       2          135        8.41
fluid_carvers       177        9          0          0          0.05
decoration          76         761        3          99         10.01
mob_spawns          2          0          0          0          0.00
structure_searches  16         813        23         352        50.81
Sum                                                             78.36
