Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    23253      15276      0          2340       0.66
structure_refs      5144       1142       0          60         0.22
biomes              10696      33465      0          881        3.13
terrain             5860       7931       0          36         1.35
surface             5860       3505       0          35         0.60
air_carvers         251        1659       2          115        6.61
fluid_carvers       251        7          0          0          0.03
decoration          113        1163       2          73         10.29
mob_spawns          0          0          0          0          0.00
structure_searches  22         1362       0          553        61.91
Sum                                                             84.80
