Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       2798       0          2175       1.51
structure_refs      729        193        0          6          0.26
biomes              729        84         0          55         0.12
terrain             729        1220       0          73         1.67
surface             729        589        0          17         0.81
air_carvers         729        4229       2          73         5.80
fluid_carvers       729        13         0          0          0.02
decoration          625        2021       1          72         3.23
mob_spawns          529        107        0          18         0.20
structure_searches  0          0          0          0          0.00
Sum                                                             13.63
